CITY,LATITUDE,LONGITUDE
Algiers,36.766667,3.216667
Amsterdam,52.366667,4.9
Ankara,39.933333,32.866667
Athens,37.966667,23.716667
Belgrade,44.816667,20.466667
Berlin,52.516667,13.383333
Brussels,50.85,4.35
Bucharest,44.4325,26.103889
Budapest,47.4925,19.051389
Dublin,53.347778,-6.259722
Helsinki,60.170833,24.9375
Kiev,50.45,30.523333
Copenhagen,55.676111,12.568333
Lisbon,38.713811,-9.139386
London,51.507222,-0.1275
Madrid,40.4,-3.683333
Minsk,53.9,27.566667
Moscow,55.75,37.616667
Narayiv,49.531269,24.774311
Paris,48.8567,2.3508
Prague,50.083333,14.416667
Rome,41.9,12.5
Sofia,42.7,23.333333
Stockholm,59.329444,18.068611
Tunis,36.8,10.183333
Vienna,48.2,16.366667
Warsaw,52.233333,21.016667
